"","Bandeira","Município","Prefeito eleito","Partido"
"1",NA,"Assis Brasil","José Vieira da Silva","PMDB"
"2",NA,"Brasileia","Messias Ribeiro","PMDB"
"3",NA,"Cruzeiro do Sul","João Barbosa","PMDB"
"4",NA,"Feijó","Lívio Severiano","PMDB"
"5",NA,"Mâncio Lima","Paulo Dene","PMDB"
"6",NA,"Manoel Urbano","Antônio Nascimento","PMDB"
"7",NA,"Plácido de Castro","José Siqueira","PMDB"
"8",NA,"Sena Madureira","Normando Sales","PMDB"
"9",NA,"Senador Guiomard","João Rodrigues","PMDB"
"10",NA,"Tarauacá","Odilon Vitorino","PMDB"
"11",NA,"Xapuri","Wanderley Viana","PMDB"
"12",NA,"Amapá","Joceli Colares","PMDB"
"13",NA,"Calçoene","José Valro","PMDB"
"14",NA,"Mazagão","Alcides Gomes Reis","PFL"
"15",NA,"Oiapoque","Francisco Milton Rodrigues","PDT"
"16",NA,"Atalaia do Norte","Sidney Cruz Castelo Branco","PFL"
"17",NA,"Barcelos","Marconi Edson","PMDB"
"18",NA,"Benjamin Constant","João Oliveira","PDS"
"19",NA,"Ipixuna","Eliézio Herculano","PMDB"
"20",NA,"Japurá","Maria Rosineide Mourão Polart","PMDB"
"21",NA,"Santa Isabel do Rio Negro","Rubens Pessoa","PMDB"
"22",NA,"Santo Antônio do Içá","Hugo Ribeiro da Costa","PFL"
"23",NA,"São Gabriel da Cachoeira","Raimundo Quirino","PFL"
"24",NA,"São Paulo de Olivença","Sebastião Dias da Silva Filho","PFL"
"25",NA,"América Dourada","Sinobelino Dourado Neto","PDS"
"26",NA,"Arataca","José Carlos dos Santos","PMDB"
"27",NA,"Barro Alto","Wanderley Dourado","PDS"
"28",NA,"Barrocas","João Olegário de Queiroz","PMDB"
"29",NA,"Buritirama","Arival Marques Viana","PDS"
"30",NA,"Camaçari","Luiz Caetano","PMDB"
"31",NA,"Candeias","Heliodoro de Jesus","PMDB"
"32",NA,"Canudos","Manoel Adriano Filho","PMDB"
"33",NA,"Capela do Alto Alegre","Honorino de Oliveira Costa","-"
"34",NA,"Capim Grosso","Cesiano Carlos Nascimento","PMDB"
"35",NA,"Casa Nova","Gilson de Castro","PDS"
"36",NA,"Cipó","José Brito","PFL"
"37",NA,"Dias d'Ávila","Ayrton Nunes","PDS"
"38",NA,"Fátima","João Oliveira","PDS"
"39",NA,"Filadélfia","Cecentino Maia","PFL"
"40",NA,"Gavião","Humberto Oliveira","PDS"
"41",NA,"Guajeru","Oriovaldo Araújo","PDS"
"42",NA,"Heliópolis","-","-"
"43",NA,"Itaparica","Vicente Gonçalves da Silva","PDS"
"44",NA,"João Dourado","Jailton França","PMDB"
"45",NA,"Jussari","Valdenor Silva","PMDB"
"46",NA,"Lapão","Valdemar José de Carvalho","PMDB"
"47",NA,"Lauro de Freitas","Paulo Rosa Neto","PTB"
"48",NA,"Maetinga","Itamar Dutra","PDS"
"49",NA,"Mansidão","José Lima Oliveira","PMDB"
"50",NA,"Nordestina","Nélio Amambay Ferreira","PFL"
"51",NA,"Paulo Afonso","José Ferreira","PMDB"
"52",NA,"Pé de Serra","Pedro Falconeri Rios","PDS"
"53",NA,"Pilão Arcado","Heraldo Mangueira","PDS"
"54",NA,"Pintadas","Eufrásio Almeida","PMDB"
"55",NA,"Planaltino","Juracy Andrade","PDS"
"56",NA,"Rafael Jambeiro","Marciano Fernandes Serra","PTB"
"57",NA,"Remanso","Fernando Braga","PDS"
"58",NA,"Santa Luzia","Clemente de Deus","PMDB"
"59",NA,"São Francisco do Conde","Pedro Ramos Santos","PTB"
"60",NA,"São Gabriel","Renan Pereira","PDS"
"61",NA,"Sento Sé","Joaquim Domingos da Silva","PMDB"
"62",NA,"Simões Filho","Eduardo de Santana Simões","PTB"
"63",NA,"Tanque Novo","João Neves de Oliveira","PTB"
"64",NA,"Teixeira de Freitas","Timóteo Alves Brito","PTB"
"65",NA,"Várzea da Roça","Manoel Rios","PMDB"
"66",NA,"Várzea Nova","Maria Íris Gomes","PDS"
"67",NA,"Wanderley","João de Queiroz Rocha","PDS"
"68",NA,"Amontada","José Agenor Henrique","PFL"
"69",NA,"Cruz","Jonas Muniz Sobrinho","PFL"
"70",NA,"Forquilha","José Antônio Dias Carneiro","PFL"
"71",NA,"Icapuí","José Airton Cirilo","PMDB"
"72",NA,"Itarema","Stênio Rios","PFL"
"73",NA,"Milhã","Josimar Rodrigues Silva","PMDB"
"74",NA,"Paraipaba","José Gutemberg Meireles de Sousa","PMDB"
"75",NA,"Quixelô","Marconi Matos","PFL"
"76",NA,"Umirim","Francisco Carlos Uchôa Sales","PMDB"
"77",NA,"Varjota","Antônio Pires Ferreira","PMDB"
"78",NA,"Anápolis","Ademar Santillo","PMDB"
"79",NA,"São João dos Patos","Eduardo Coelho Mendes","PMDB"
"80",NA,"Aripuanã","Almiro Petersen Willig","PMDB"
"81",NA,"Cáceres","Antônio Fontes","PMDB"
"82",NA,"Mirassol d'Oeste","Edivaldo Paiva","PMDB"
"83",NA,"Vila Bela da Santíssima Trindade","Íris Leite","PDS"
"84",NA,"Amambai","Geraldo Felipe Corrêa","PMDB"
"85",NA,"Antônio João","Iber da Silva Xavier","PMDB"
"86",NA,"Aral Moreira","Bento Marques Neto","PMDB"
"87",NA,"Bela Vista","Abraão Armoa Zacarias","PMDB"
"88",NA,"Caracol","Juvino Godoy","PMDB"
"89",NA,"Corumbá","Hugo Silva da Costa","PMDB"
"90",NA,"Eldorado","Guaracy de Miranda Correia","PMDB"
"91",NA,"Iguatemi","Nilzo Otano Peixoto","PMDB"
"92",NA,"Ladário","Nivaldo Ferreira da Silva","PMDB"
"93",NA,"Mundo Novo","José Carlos da Silva","PMDB"
"94",NA,"Ponta Porã","Aires Marques","PMDB"
"95",NA,"Porto Murtinho","Marconil Marques dos Santos","PFL"
"96",NA,"Três Lagoas","Antônio João Campos de Carvalho","PFL"
"97",NA,"Araxá","Aracely de Paula","PFL"
"98",NA,"Caldas","Sebastião Bellini","PFL"
"99",NA,"Cambuquira","Antônio de Oliveira","PFL"
"100",NA,"Carangola","José Oliveira","PMDB"
"101",NA,"Caxambu","Isaac Rosental","PMDB"
"102",NA,"Jacutinga","João Pitágoras Carvalho","PMDB"
"103",NA,"Lambari","Marcílio Botti","PMDB"
"104",NA,"Monte Sião","Antônio Bernardi","PMDB"
"105",NA,"Passa Quatro","Antônio Claret Mota","PMDB"
"106",NA,"Patrocínio","Afrânio Amaral","PFL"
"107",NA,"Poços de Caldas","Adney Morais","PMDB"
"108",NA,"São Lourenço","Orestes Silveira","PMDB"
"109",NA,"Tiradentes","Mauro Barbosa","PMDB"
"110",NA,"Almeirim","José Alfredo Hage","PMDB"
"111",NA,"Altamira","Anfrísio Nunes","PFL"
"112",NA,"Itaituba","Sílvio Macedo","PMDB"
"113",NA,"Marabá","Hamilton Bezerra","PMDB"
"114",NA,"Óbidos","Zolivaldo Florezano","PMDB"
"115",NA,"Oriximiná","Antônio Caldeiraro Filho","PMDB"
"116",NA,"Salinópolis","Isidoro Barros Filho","PMDB"
"117",NA,"Santarém","Ronaldo Campos","PMDB"
"118",NA,"Barracão","Antônio Leonel Poloni","PMDB"
"119",NA,"Capanema","Armandio Guerra","PMDB"
"120",NA,"Foz do Iguaçu","Dobrandino Gustavo da Silva","PMDB"
"121",NA,"Guaíra","Osvaldino da Silveira","PMDB"
"122",NA,"Marechal Cândido Rondon","Ilmar Priesnitz","PMDB"
"123",NA,"Medianeira","Adolfo Mariano da Costa","PMDB"
"124",NA,"Pérola d'Oeste","Arlindo Cenci","PMDB"
"125",NA,"Planalto","Nilo Lucietto","PMDB"
"126",NA,"Santa Helena","Júlio Morandi","PMDB"
"127",NA,"Santo Antônio do Sudoeste","Ademar Luiz Traiano","PMDB"
"128",NA,"São José das Palmeiras","Alípio Francisco Salvador","PMDB"
"129",NA,"São Miguel do Iguaçu","Armando Luiz Polita","PMDB"
"130",NA,"Guadalupe","João Luiz da Rocha","PFL"
"131",NA,"Angra dos Reis","José Luiz Rezek","PFL"
"132",NA,"Arraial do Cabo","Renato Viana","PMDB"
"133",NA,"Duque de Caxias","Juberlan de Oliveira","PDT"
"134",NA,"Volta Redonda","Marino Klinger","PDT"
"135",NA,"Alecrim","Paulo Spohr","PMDB"
"136",NA,"Bagé","Luiz Vargas","PDT"
"137",NA,"Canoas","Carlos Giacomazzi","PMDB"
"138",NA,"Crissiumal","Henrique Eberling","PMDB"
"139",NA,"Dom Pedrito","Quintiliano Vieira","PMDB"
"140",NA,"Herval","Nildo Soares","PDT"
"141",NA,"Horizontina","Vicente Sartor","PDS"
"142",NA,"Itaqui","Vespertino Bonorino","PDT"
"143",NA,"Jaguarão","Fernando Ribas","PFL"
"144",NA,"Osório","Ângelo Guasselli","PDT"
"145",NA,"Porto Lucena","Relly de Vlieger","PMDB"
"146",NA,"Porto Xavier","Bernardino David","PDS"
"147",NA,"Quaraí","Carlos Alberto Vieira","PDT"
"148",NA,"Rio Grande","Rubens Corrêa","PDS"
"149",NA,"Roque Gonzales","Artur Issler","PMDB"
"150",NA,"Santa Vitória do Palmar","José Patela","PMDB"
"151",NA,"Santana do Livramento","Oriovaldo Gressler","PMDB"
"152",NA,"São Borja","Mário Weiss","PDT"
"153",NA,"São Nicolau","Jauri Cunha","PMDB"
"154",NA,"Tenente Portela","Odilo Gabriel","PMDB"
"155",NA,"Tramandaí","Eloy Brás Sessin","PFL"
"156",NA,"Três Passos","Valdírio Pedralli","PMDB"
"157",NA,"Tucunduva","Antônio Varaschin","PMDB"
"158",NA,"Tuparendi","Celso Kaminski","PMDB"
"159",NA,"Uruguaiana","Nivaldo Soares","PMDB"
"160",NA,"Alto Alegre","Fernando Nicácio","PMDB"
"161",NA,"Bonfim","Vicente Saraiva","PMDB"
"162",NA,"Caracaraí","Sebastião Portela","PMDB"
"163",NA,"Mucajaí","Roldão Almeida","PMDB"
"164",NA,"Normandia","Sebastião Costa","PMDB"
"165",NA,"São João da Baliza","Darci Pedroso","PTB"
"166",NA,"São Luís","Gentil Gomes","PMDB"
"167",NA,"Descanso","Vitório Basso","PMDB"
"168",NA,"Dionísio Cerqueira","Valdomiro Furini","PMDB"
"169",NA,"Guaraciaba","Remígio Reinoldo Maldaner","PMDB"
"170",NA,"Itapiranga","Gilberto Francisco Henkes","PMDB"
"171",NA,"São José do Cedro","Olmiro Wendpap","PMDB"
"172",NA,"São Miguel do Oeste","Luiz Basso","PMDB"
"173",NA,"Castilho","José Miguel do Nascimento","PFL"
"174",NA,"Cubatão","José Osvaldo Passarelli","PFL"
"175",NA,"Paulínia","Benedito Dias","PMDB"
"176",NA,"São Sebastião","Luís Rogério Martins","PMDB"
